Hand name,Company name,Link to hand page,# of Fingers,Total DoF,# of Actuators,Photo filename,Text description,Date updated
Shadow Dexterous Hands,Shadow Robot,https://www.shadowrobot.com/dexterous-hand-series/,5,24,20,shadow-dexterous-hand.png,20 geared brushed DC motors (Underactuated). Tendon-driven. Shadow Tactile Sensing (STF) acheived with magnets and 3-axis Hall effect sensor (Only on the index and thumb by default). Full ROS integration. Motors stored in the base of the hand. Tendons susceptible to wearing down after excessive use.,Oct 13
DEX-EE,Shadow Robot,https://www.shadowrobot.com/dex-ee/,3,12,15,shadow_dex_ee.jpg,15 DC motors (Overactuated). Tendon-driven.  Distal tactile sensors with optional middle and proximal sensors that use magnets and 3-axis Hall Effect. Full ROS integration. Modular fingers and tactile sensors. Motors stored in the base of each finger. Backdrivable. More durable than Shadow Dexterous Hands.,Oct 13
XHand1,RobotEra,https://www.robotera.com/en/goods1/4.html,5,12,12,xhand1.png,"12 brushless DC motors. Quasi-Direct Drive (QDD). Tactile array sensors (>100 points) on each finger. Backdrivable. The thumb can be used for a pinky position to improve grip stability. Supports Linux, SDK, and ROS. ",Oct 13
Allegro Hand V5(4F Plus),Wonik Robotics,https://www.allegrohand.com/v5-4fplus,4,16,16,allegrohand_v5.jpeg,16 DC motors. Gear-driven. Omni-directional capacitive pressure-sensitive tactile sensors. Different fingertips for different grips. Supports ROS.,Oct 13
Allegro Hand V4,Wonik Robotics,https://www.allegrohand.com/v4,4,16,16,allegrohand_v4.png,"16 DC motors. Gear-driven. No tactile sensing built-in. Supports Linux, Windows, and ROS. Widely used for dexterity research.",Oct 13
SVH,Schunk,https://schunk.com/us/en/gripping-systems/special-gripper/svh/c/PGR_3161,5,20,9,SVH.png,9 servomotors (Underactuated). Gear/spindle-driven. No tactile sensing built-in. Supports ROS and can be controlled with Raspberry Pi. Left and right variants available.,Oct 13
Ability Hand,Psyonic,https://www.psyonic.io/robots,5,12,6,abilityhand.png,6 DC motors (Underactuated). Tendon-driven. Tactile sensing with the use of flexible PCB that house three barometric pressure sensors cast in silicone. Used in prosthesis and robotics.,Oct 13
ProHand 1.0,Proception AI,https://www.proception.ai/hand,5,22*,N/A,prohand.png,Unknown number and type of actuators. Tendon-driven. High resolution touch sensors. The specifications are not finalized. Planned to release in 2028.   *not finalized,Oct 13
Surge Hand,Alt Bionics,https://www.altbionics.com/robotics/,5,6,6,surgehand.png,6 DC motors. Gear-driven. Optional force sensors (not released). Modular fingers. Rubberized surfaces on fingers and palm.,Oct 13
DM-Hand1,Daimon Robotics,https://www.dmrobot.com/en/products/p2/dm-hand1.html,5,12,6,dmhand1.png,,Sep 28
COVVI Robotic Hand,Covvi,https://www.covvi-robotics.com/robotic-hand/,5,6,6,covvirobotichand.png,,Sep 28
IH2 Azzurra,Prensilia,https://www.prensilia.com/ih2-azzurra-hand/,5,11,5,ih2azzurra.png,,Sep 28
Mia Hand,Prensilia,https://www.prensilia.com/mia-hand/,5,4,3,miahand.png,,Sep 28
SoftHand Industry,QbRobotics,https://qbrobotics.com/product/qb-softhand-industry/,5,19,1,softhandindustry.png,,Sep 28
SoftHand2 Research,QbRobotics,https://qbrobotics.com/product/qb-softhand-2-research/,5,19,2,softhand2research.png,,Sep 28
DG-5F,Tesollo,https://en.tesollo.com/dg-5f/,5,20,20,dg5f.png,,Sep 28
DG-4F,Tesollo,https://en.tesollo.com/dg-4f/,4,18,N/A,dg4f.png,,Sep 28
DG-3F-M,Tesollo,https://en.tesollo.com/dg-3f-m/,3,12,N/A,dg3fm.png,,Sep 28
DG-3F-B,Tesollo,https://en.tesollo.com/dg-3f-b/,3,12,N/A,dg3fb.png,,Sep 28
RH8D,Seed Robotics,https://www.seedrobotics.com/rh8d-adult-robot-hand,5,19,8,RH8D.png,,Sep 28
RH6D,Seed Robotics,https://www.seedrobotics.com/rh5d-rh7d-childsize-robot-hand,4,15,6,RH6D.png,,Sep 28
RH4D,Seed Robotics,https://www.seedrobotics.com/rh4d-advanced-manipulator,3,11,4,RH4D.png,,Sep 28
Sharpa Dexterous Hands,Sharpa,https://www.sharpa.com/,5,22,22,Sharpa.png,,Sep 28
Aidin Robotic Hand,Aidin Robotics,https://www.aidinrobotics.co.kr/en/robotic-hand,5,15,N/A,Aidin.png,,Sep 28
The Dexterous Hands RH56BFX/DFX,Inspire-Robots,https://inspire-robots.store/collections/all/products/dexterous-hand-rh56dfx-series?variant=42723202072820,5,6,N/A,DexterousHandsDFX.png,,Sep 28
The Dexterious Hands RH56DFTP,Inspire-Robots,https://inspire-robots.store/products/the-dexterous-hands-rh56dftp?variant=45933596246260,5,6,6,DexterousHandsDFTP.png,,Sep 28
BarrettHand,Barrett,https://barrett.com/barretthand,3,8,4,BarrettHand.png,,Sep 28
uHandPi,Hiwonder,https://www.hiwonder.com/products/uhandpi?variant=40961372618839,5,6,N/A,uHandPi.png,,Sep 28
Agile Hand,Agile Robots,https://www.agile-robots.com/en/robotic-solutions/agile-hand,5,15-16*,N/A,agilehand.png,*Optional thumb actuator,Sep 28
F.02 Humanoid Hand,Figure AI,https://www.figure.ai/,5,16,N/A,f02hand.png,,Sep 28
Optimus Hand,Tesla,https://www.tesla.com/AI,5,22,22*,optimushand.png,*Not officially reported,Sep 28
Smart Hands,Roboworks,https://www.roboworks.net/store/p/smarthands,5,6,12,smarthands.png,,Sep 28
Dex5-1P,Unitree,https://www.unitree.com/Dex5-1,5,20,16,dex5-1p.png,,Sep 28
Dex3-1,Unitree,https://www.unitree.com/Dex3-1,3,7,5,dex3-1.png,,Sep 28
Clone Hand,Clone,https://clonerobotics.com/hand,5,27,N/A,clonehand.png,,Sep 28
Muscle v0,Daxo Robotics,https://daxo-robotics.com/,5,N/A*,108,musclev0.png,"*Website reports ""infinite""",Sep 28
GMH18,PaXini,https://mall-test.paxini.com/product/dex/689462a68915b0ae2307d99b?skuId=689465eb8915b0ae2307e004,5,18,N/A,gmh18.png,,Sep 28
RO Hand,OY Motion,https://oymotion.com/en/product62/191,5,11,6,rohand.png,,Sep 28
DexHand021,DexRobot,https://www.dex-robot.com/en/productionDexhand,5,19,12,dexrobot_hand.png,,Sep 28
Atlas Gripper,Boston Dynamics,https://bostondynamics.com/blog/ask-a-roboticist-meet-karl/,3,7,7,atlasgripper.png,"Tactile sensors in fingertips, cameras in palm. hand contains all actuators",Oct 13
